2024-11-05 15:32:51,309 - Starting scraping of 2427 games
2024-11-05 15:32:51,343 - Game 718768 already scraped, skipping.
2024-11-05 15:32:51,347 - Game 718769 already scraped, skipping.
2024-11-05 15:32:51,351 - Game 718772 already scraped, skipping.
2024-11-05 15:32:51,355 - Game 718777 already scraped, skipping.
2024-11-05 15:32:51,359 - Game 718770 already scraped, skipping.
2024-11-05 15:32:51,359 - Game 718767 already scraped, skipping.
2024-11-05 15:32:51,362 - Game 718774 already scraped, skipping.
2024-11-05 15:32:51,363 - Game 718780 already scraped, skipping.
2024-11-05 15:32:51,363 - Game 718778 already scraped, skipping.
2024-11-05 15:32:51,367 - Game 718779 already scraped, skipping.
2024-11-05 15:32:51,367 - Game 718776 already scraped, skipping.
2024-11-05 15:32:51,370 - Game 718782 already scraped, skipping.
2024-11-05 15:32:51,371 - Game 718773 already scraped, skipping.
2024-11-05 15:32:51,374 - Game 718775 already scraped, skipping.
2024-11-05 15:32:51,375 - Game 718781 already scraped, skipping.
2024-11-05 15:32:51,375 - Game 718764 already scraped, skipping.
2024-11-05 15:32:51,379 - Game 718765 already scraped, skipping.
2024-11-05 15:32:51,379 - Game 718763 already scraped, skipping.
2024-11-05 15:32:51,379 - Game 718771 already scraped, skipping.
2024-11-05 15:32:51,379 - Game 718766 already scraped, skipping.
2024-11-05 15:32:51,379 - Game 718760 already scraped, skipping.
2024-11-05 15:32:51,379 - Game 718757 already scraped, skipping.
2024-11-05 15:32:51,383 - Game 718759 already scraped, skipping.
2024-11-05 15:32:51,383 - Game 718758 already scraped, skipping.
2024-11-05 15:32:51,383 - Game 718749 already scraped, skipping.
2024-11-05 15:32:51,386 - Game 718746 already scraped, skipping.
2024-11-05 15:32:51,387 - Game 718755 already scraped, skipping.
2024-11-05 15:32:51,387 - Game 718753 already scraped, skipping.
2024-11-05 15:32:51,390 - Game 718750 already scraped, skipping.
2024-11-05 15:32:51,391 - Game 718752 already scraped, skipping.
2024-11-05 15:32:51,391 - Game 718754 already scraped, skipping.
2024-11-05 15:32:51,391 - Game 718761 already scraped, skipping.
2024-11-05 15:32:51,391 - Game 718756 already scraped, skipping.
2024-11-05 15:32:51,395 - Game 718751 already scraped, skipping.
2024-11-05 15:32:51,395 - Game 718762 already scraped, skipping.
2024-11-05 15:32:51,395 - Game 718740 already scraped, skipping.
2024-11-05 15:32:51,395 - Game 718734 already scraped, skipping.
2024-11-05 15:32:51,395 - Game 718737 already scraped, skipping.
2024-11-05 15:32:51,400 - Game 718738 already scraped, skipping.
2024-11-05 15:32:51,400 - Game 718736 already scraped, skipping.
2024-11-05 15:32:51,400 - Game 718735 already scraped, skipping.
2024-11-05 15:32:51,403 - Game 718741 already scraped, skipping.
2024-11-05 15:32:51,403 - Game 718743 already scraped, skipping.
2024-11-05 15:32:51,404 - Game 718733 already scraped, skipping.
2024-11-05 15:32:51,407 - Game 718739 already scraped, skipping.
2024-11-05 15:32:51,408 - Game 718742 already scraped, skipping.
2024-11-05 15:32:51,408 - Game 718748 already scraped, skipping.
2024-11-05 15:33:02,010 - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104193c70>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83d1ce1e01479c99cd0710c954662949
2024-11-05 15:33:02,011 - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10456cbe0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83d1ce1e01479c99cd0710c954662949
2024-11-05 15:33:02,012 - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10456cd30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83d1ce1e01479c99cd0710c954662949
