Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Strikeout,False,1,Top,1,0,0,,,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Flyout,False,1,Top,2,0,1,,,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Single,False,1,Top,3,0,2,,,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Flyout,False,1,Top,4,0,2,,,643446,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Single,False,1,Bot,5,0,0,,,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Flyout,False,1,Bot,6,0,0,,,660670,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Flyout,False,1,Bot,7,0,1,,,660670,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Stolen Base 2B,True,1,Bot,8,0,2,,,660670,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Strikeout,False,1,Bot,8,0,2,,660670,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Groundout,False,2,Top,9,0,0,,,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Flyout,False,2,Top,10,0,1,,,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
Flyout,False,2,Top,11,0,2,,,,693821,656731,660670,607043,671739,596019,663586,643446,621566,624413,542303,596129,592696,621466,518595,682626,606115,542364,670032,660620,542303,596129,518595,682626,621566,624413,670032,643446,663586,660620,606115,596019,592696,542364,671739,607043,660670,621466
