Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Strikeout,False,1,Top,1,0,0,,,,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Flyout,False,1,Top,2,0,1,,,,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Walk,False,1,Top,3,0,2,,,,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Walk,False,1,Top,4,0,2,,,608070,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Strikeout,False,1,Top,5,0,2,,608070,605137,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Double,False,1,Bot,6,0,0,,,,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Single,False,1,Bot,7,0,0,,677594,,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Flyout,False,1,Bot,8,1,0,,,543939,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Strikeout,False,1,Bot,9,1,1,,,543939,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
Pop Out,False,1,Bot,10,1,2,,,543939,592662,683769,677594,680757,543939,642708,664034,608070,606192,605137,663728,647304,553993,660757,672284,665926,669450,572287,641487,664702,669450,647304,663728,572287,664034,605137,543939,665926,553993,608070,641487,642708,672284,680757,677594,664702,606192,660757
