Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Groundout,False,1,Top,1,0,0,,,,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Single,False,1,Top,2,0,1,,,,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Flyout,False,1,Top,3,0,1,,,668939,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Walk,False,1,Top,4,0,2,,,668939,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Strikeout,False,1,Top,5,0,2,,668939,623993,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Lineout,False,1,Bot,6,0,0,,,,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Groundout,False,1,Bot,7,0,1,,,,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Groundout,False,1,Bot,8,0,2,,,,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Strikeout,False,2,Top,9,0,0,,,,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Walk,False,2,Top,10,0,1,,,,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
Single,False,2,Top,11,0,1,,,624428,571760,502043,543760,656775,608369,668939,663993,663624,666969,623993,673962,669720,543257,602104,641598,624428,543543,622761,677649,663630,543543,623993,641598,668939,663993,663624,543760,624428,673962,602104,608369,622761,677649,663630,666969,656775,543257,669720
