Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Strikeout,False,1,Top,1,0,0,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Strikeout,False,1,Top,2,0,1,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Pop Out,False,1,Top,3,0,2,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Lineout,False,1,Bot,4,0,0,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Groundout,False,1,Bot,5,0,1,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Strikeout,False,1,Bot,6,0,2,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Strikeout,False,2,Top,7,0,0,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Strikeout,False,2,Top,8,0,1,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Strikeout,False,2,Top,9,0,2,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
Strikeout,False,2,Bot,10,0,0,,,,675911,458681,660670,643217,645277,641313,663586,673357,621566,650391,669221,683734,542303,669394,592696,621545,606115,693049,671739,664874,542303,650391,669221,664874,621566,683734,645277,621545,663586,669394,606115,641313,592696,643217,671739,673357,660670,693049
